"filename", "language", "CSS", "JavaScript JSX", "JavaScript", "HTML", "comment", "blank", "total"
"/Users/nathanielkemmenash/Desktop/VS Code Projects/ProfessorJava/src/dictionaryWindow/dicSectionTitle.jsx", "JavaScript JSX", 0, 22, 0, 0, 0, 6, 28
"/Users/nathanielkemmenash/Desktop/VS Code Projects/ProfessorJava/src/dictionaryWindow/dicWindow.css", "CSS", 85, 0, 0, 0, 3, 19, 107
"/Users/nathanielkemmenash/Desktop/VS Code Projects/ProfessorJava/src/dictionaryWindow/dicWindow.jsx", "JavaScript JSX", 0, 179, 0, 0, 0, 24, 203
"/Users/nathanielkemmenash/Desktop/VS Code Projects/ProfessorJava/src/dictionaryWindow/topBar.css", "CSS", 21, 0, 0, 0, 3, 12, 36
"/Users/nathanielkemmenash/Desktop/VS Code Projects/ProfessorJava/src/dictionaryWindow/topBar.jsx", "JavaScript JSX", 0, 18, 0, 0, 0, 19, 37
"/Users/nathanielkemmenash/Desktop/VS Code Projects/ProfessorJava/src/filesWindow/Components/fileTile.css", "CSS", 14, 0, 0, 0, 2, 3, 19
"/Users/nathanielkemmenash/Desktop/VS Code Projects/ProfessorJava/src/filesWindow/Components/fileTile.jsx", "JavaScript JSX", 0, 22, 0, 0, 0, 8, 30
"/Users/nathanielkemmenash/Desktop/VS Code Projects/ProfessorJava/src/filesWindow/filesWindow.css", "CSS", 40, 0, 0, 0, 0, 7, 47
"/Users/nathanielkemmenash/Desktop/VS Code Projects/ProfessorJava/src/filesWindow/filesWindow.jsx", "JavaScript JSX", 0, 47, 0, 0, 0, 11, 58
"/Users/nathanielkemmenash/Desktop/VS Code Projects/ProfessorJava/src/filesWindow/topBar.css", "CSS", 55, 0, 0, 0, 0, 9, 64
"/Users/nathanielkemmenash/Desktop/VS Code Projects/ProfessorJava/src/filesWindow/topBar.jsx", "JavaScript JSX", 0, 64, 0, 0, 2, 20, 86
"/Users/nathanielkemmenash/Desktop/VS Code Projects/ProfessorJava/src/firebase/auth.js", "JavaScript", 0, 0, 33, 0, 0, 16, 49
"/Users/nathanielkemmenash/Desktop/VS Code Projects/ProfessorJava/src/firebase/database.js", "JavaScript", 0, 0, 60, 0, 0, 12, 72
"/Users/nathanielkemmenash/Desktop/VS Code Projects/ProfessorJava/src/firebase/init.js", "JavaScript", 0, 0, 12, 0, 6, 3, 21
"/Users/nathanielkemmenash/Desktop/VS Code Projects/ProfessorJava/src/firebase/storage.js", "JavaScript", 0, 0, 15, 0, 5, 4, 24
"/Users/nathanielkemmenash/Desktop/VS Code Projects/ProfessorJava/src/index.css", "CSS", 55, 0, 0, 0, 0, 8, 63
"/Users/nathanielkemmenash/Desktop/VS Code Projects/ProfessorJava/src/index.html", "HTML", 0, 0, 0, 16, 1, 6, 23
"/Users/nathanielkemmenash/Desktop/VS Code Projects/ProfessorJava/src/infoWindow/infoWindow.css", "CSS", 15, 0, 0, 0, 0, 3, 18
"/Users/nathanielkemmenash/Desktop/VS Code Projects/ProfessorJava/src/infoWindow/infoWindow.jsx", "JavaScript JSX", 0, 23, 0, 0, 0, 10, 33
"/Users/nathanielkemmenash/Desktop/VS Code Projects/ProfessorJava/src/infoWindow/topBar.css", "CSS", 24, 0, 0, 0, 0, 7, 31
"/Users/nathanielkemmenash/Desktop/VS Code Projects/ProfessorJava/src/infoWindow/topBar.jsx", "JavaScript JSX", 0, 19, 0, 0, 0, 11, 30
"/Users/nathanielkemmenash/Desktop/VS Code Projects/ProfessorJava/src/init.js", "JavaScript", 0, 0, 1, 0, 0, 1, 2
"/Users/nathanielkemmenash/Desktop/VS Code Projects/ProfessorJava/src/javaish.mjs", "JavaScript", 0, 0, 51451, 0, 10, 25, 51486
"/Users/nathanielkemmenash/Desktop/VS Code Projects/ProfessorJava/src/javaish_old.mjs", "JavaScript", 0, 0, 25540, 0, 21, 22, 25583
"/Users/nathanielkemmenash/Desktop/VS Code Projects/ProfessorJava/src/main.jsx", "JavaScript JSX", 0, 9, 0, 0, 0, 2, 11
"/Users/nathanielkemmenash/Desktop/VS Code Projects/ProfessorJava/src/topBar/topBar.css", "CSS", 0, 0, 0, 0, 0, 1, 1
"/Users/nathanielkemmenash/Desktop/VS Code Projects/ProfessorJava/src/topBar/topBar.jsx", "JavaScript JSX", 0, 99, 0, 0, 4, 34, 137
"/Users/nathanielkemmenash/Desktop/VS Code Projects/ProfessorJava/src/welcomeWindow/welcomeWindow.css", "CSS", 39, 0, 0, 0, 0, 9, 48
"/Users/nathanielkemmenash/Desktop/VS Code Projects/ProfessorJava/src/welcomeWindow/welcomeWindow.jsx", "JavaScript JSX", 0, 93, 0, 0, 1, 19, 113
"Total", "-", 863, 2082, 77452, 16, 181, 852, 81446
